"id_provincia","provincia","cantidad"
6,"BUENOS AIRES - GBA",7762
2,"CABA",4008
14,"CORDOBA",2194
82,"SANTA FE",2023
50,"MENDOZA",1213
66,"SALTA",595
70,"SAN JUAN",536
54,"MISIONES",452
62,"RIO NEGRO",434
58,"NEUQUEN",386
90,"TUCUMAN",385
30,"ENTRE RIOS",301
38,"JUJUY",272
74,"SAN LUIS",263
22,"CHACO",243
26,"CHUBUT",200
34,"FORMOSA",192
46,"LA RIOJA",164
18,"CORRIENTES",148
10,"CATAMARCA",142
78,"SANTA CRUZ",130
94,"TIERRA DEL FUEGO",103
42,"LA PAMPA",99
86,"SANTIAGO DEL ESTERO",43
